,,, pm25, pm25, pm25
,,,min,max,mean
date,date,City,,,
2015,5,Nowon-Gu,35.0,108.0,55.03225806451613
2015,5,Pado-Ri,,,
2015,5,Seolseong-Myeon,,,
2015,6,Bangsan-Myeon,,,
2015,6,Geumchon-Dong,,,
2015,6,Gwanak-Gu,39.0,108.0,74.5
2015,6,Jeongnim-Dong,,,
2015,6,Jungang-Way,34.0,118.0,68.56666666666666
2015,6,Juwol-Dong,40.0,113.0,73.6
2015,6,Nowon-Gu,21.0,72.0,49.13333333333333
2015,6,Pado-Ri,,,
2015,6,Seolseong-Myeon,,,
2015,7,Bangsan-Myeon,,,
2015,7,Geumchon-Dong,,,
2015,7,Gwanak-Gu,29.0,133.0,68.64516129032258
2015,7,Jeongnim-Dong,,,
2015,7,Jungang-Way,22.0,132.0,58.83870967741935
2015,7,Juwol-Dong,13.0,140.0,62.87096774193548
2015,7,Nowon-Gu,16.0,121.0,48.225806451612904
2015,7,Pado-Ri,,,
2015,7,Seolseong-Myeon,,,
2015,8,Bangsan-Myeon,,,
2015,8,Geumchon-Dong,,,
2015,8,Gwanak-Gu,28.0,133.0,78.29032258064517
2015,8,Jeongnim-Dong,,,
2015,8,Jungang-Way,18.0,97.0,66.09677419354838
2015,8,Juwol-Dong,27.0,124.0,67.83870967741936
2015,8,Nowon-Gu,11.0,104.0,55.5
2015,8,Pado-Ri,,,
2015,8,Seolseong-Myeon,,,
2015,9,Bangsan-Myeon,,,
2015,9,Geumchon-Dong,,,
2015,9,Gwanak-Gu,39.0,106.0,66.0
2015,9,Jeongnim-Dong,,,
2015,9,Jungang-Way,29.0,89.0,53.2
2015,9,Juwol-Dong,37.0,94.0,54.1578947368421
2015,9,Nowon-Gu,18.0,65.0,40.67857142857143
2015,9,Pado-Ri,,,
2015,9,Seolseong-Myeon,,,
2015,10,Bangsan-Myeon,,,
2015,10,Geumchon-Dong,,,
2015,10,Gwanak-Gu,46.0,155.0,82.48387096774194
2015,10,Jeongnim-Dong,,,
2015,10,Jungang-Way,38.0,159.0,75.87096774193549
2015,10,Juwol-Dong,36.0,175.0,99.21428571428571
2015,10,Nowon-Gu,22.0,139.0,59.38709677419355
2015,10,Pado-Ri,,,
2015,10,Seolseong-Myeon,,,
2015,11,Bangsan-Myeon,,,
2015,11,Geumchon-Dong,,,
2015,11,Gwanak-Gu,24.0,149.0,76.9
2015,11,Jeongnim-Dong,,,
2015,11,Jungang-Way,12.0,157.0,70.4
2015,11,Juwol-Dong,28.0,162.0,74.8
2015,11,Nowon-Gu,21.0,144.0,66.43333333333334
2015,11,Pado-Ri,,,
2015,11,Seolseong-Myeon,,,
2015,12,Bangsan-Myeon,,,
2015,12,Geumchon-Dong,,,
2015,12,Gwanak-Gu,49.0,154.0,91.13333333333334
2015,12,Jeongnim-Dong,,,
2015,12,Jungang-Way,54.0,157.0,107.64285714285714
2015,12,Juwol-Dong,37.0,153.0,88.64285714285714
2015,12,Nowon-Gu,47.0,143.0,90.7
2015,12,Pado-Ri,,,
2015,12,Seolseong-Myeon,,,
2016,1,Bangsan-Myeon,,,
2016,1,Geumchon-Dong,,,
2016,1,Gwanak-Gu,50.0,125.0,82.32142857142857
2016,1,Jeongnim-Dong,,,
2016,1,Jungang-Way,56.0,146.0,95.42857142857143
2016,1,Juwol-Dong,35.0,147.0,82.14285714285714
2016,1,Nowon-Gu,44.0,109.0,71.5
2016,1,Pado-Ri,,,
2016,1,Seolseong-Myeon,,,
2016,2,Bangsan-Myeon,,,
2016,2,Geumchon-Dong,,,
2016,2,Gwanak-Gu,49.0,121.0,78.41379310344827
2016,2,Jeongnim-Dong,45.0,139.0,80.57142857142857
2016,2,Jungang-Way,51.0,139.0,91.75862068965517
2016,2,Juwol-Dong,44.0,154.0,79.75862068965517
2016,2,Nowon-Gu,40.0,134.0,75.96551724137932
2016,2,Pado-Ri,,,
2016,2,Seolseong-Myeon,,,
2016,3,Bangsan-Myeon,,,
2016,3,Geumchon-Dong,,,
2016,3,Gwanak-Gu,54.0,134.0,97.06451612903226
2016,3,Jeongnim-Dong,48.0,143.0,88.16129032258064
2016,3,Jungang-Way,54.0,150.0,103.64516129032258
2016,3,Juwol-Dong,40.0,147.0,87.29032258064517
2016,3,Nowon-Gu,48.0,146.0,94.64516129032258
2016,3,Pado-Ri,,,
2016,3,Seolseong-Myeon,,,
2016,4,Bangsan-Myeon,,,
2016,4,Geumchon-Dong,,,
2016,4,Gwanak-Gu,52.0,153.0,91.33333333333333
2016,4,Jeongnim-Dong,42.0,137.0,74.13333333333334
2016,4,Jungang-Way,43.0,153.0,89.06666666666666
2016,4,Juwol-Dong,35.0,151.0,84.06666666666666
2016,4,Nowon-Gu,37.0,163.0,85.93333333333334
2016,4,Pado-Ri,,,
2016,4,Seolseong-Myeon,,,
2016,5,Bangsan-Myeon,,,
2016,5,Geumchon-Dong,60.0,147.0,96.85714285714286
2016,5,Gwanak-Gu,53.0,157.0,91.64516129032258
2016,5,Jeongnim-Dong,35.0,129.0,68.70967741935483
2016,5,Jungang-Way,18.0,163.0,77.45161290322581
