,,, co, co, co
,,,min,max,mean
date,date,City,,,
2014,12,Geumchon-Dong,3.0,13.0,7.6923076923076925
2014,12,Gwanak-Gu,4.0,18.0,8.535714285714286
2014,12,Jeongnim-Dong,3.0,13.0,8.185185185185185
2014,12,Jungang-Way,3.0,16.0,8.518518518518519
2014,12,Juwol-Dong,1.0,14.0,6.461538461538462
2014,12,Nowon-Gu,2.0,12.0,5.2592592592592595
2014,12,Pado-Ri,1.0,6.0,3.04
2014,12,Seolseong-Myeon,1.0,10.0,5.407407407407407
2015,1,Bangsan-Myeon,2.0,9.0,4.620689655172414
2015,1,Geumchon-Dong,4.0,14.0,8.655172413793103
2015,1,Gwanak-Gu,5.0,42.0,11.064516129032258
2015,1,Jeongnim-Dong,4.0,16.0,8.413793103448276
2015,1,Jungang-Way,6.0,16.0,11.172413793103448
2015,1,Juwol-Dong,2.0,16.0,8.03448275862069
2015,1,Nowon-Gu,3.0,11.0,6.354838709677419
2015,1,Pado-Ri,1.0,10.0,4.862068965517241
2015,1,Seolseong-Myeon,3.0,10.0,6.103448275862069
2015,2,Bangsan-Myeon,3.0,9.0,4.464285714285714
2015,2,Geumchon-Dong,3.0,14.0,8.75
2015,2,Gwanak-Gu,4.0,15.0,8.75
2015,2,Jeongnim-Dong,3.0,10.0,6.928571428571429
2015,2,Jungang-Way,2.0,15.0,7.185185185185185
2015,2,Juwol-Dong,3.0,13.0,6.75
2015,2,Nowon-Gu,2.0,10.0,6.0
2015,2,Pado-Ri,2.0,11.0,4.214285714285714
2015,2,Seolseong-Myeon,3.0,11.0,5.928571428571429
2015,3,Bangsan-Myeon,2.0,5.0,3.4193548387096775
2015,3,Geumchon-Dong,3.0,12.0,6.67741935483871
2015,3,Gwanak-Gu,4.0,14.0,7.935483870967742
2015,3,Jeongnim-Dong,3.0,11.0,6.0
2015,3,Jungang-Way,2.0,13.0,6.419354838709677
2015,3,Juwol-Dong,4.0,12.0,7.032258064516129
2015,3,Nowon-Gu,2.0,11.0,5.451612903225806
2015,3,Pado-Ri,2.0,8.0,4.033333333333333
2015,3,Seolseong-Myeon,1.0,9.0,5.0
2015,4,Bangsan-Myeon,2.0,5.0,2.75
2015,4,Geumchon-Dong,1.0,8.0,5.366666666666666
2015,4,Gwanak-Gu,4.0,9.0,6.8
2015,4,Jeongnim-Dong,3.0,25.0,6.4
2015,4,Jungang-Way,4.0,6.0,5.033333333333333
2015,4,Juwol-Dong,1.0,8.0,5.566666666666666
2015,4,Nowon-Gu,2.0,6.0,4.1
2015,4,Pado-Ri,2.0,6.0,3.3448275862068964
2015,4,Seolseong-Myeon,2.0,6.0,3.8620689655172415
2015,5,Bangsan-Myeon,2.0,4.0,2.740740740740741
2015,5,Geumchon-Dong,2.0,8.0,5.275862068965517
2015,5,Gwanak-Gu,4.0,8.0,5.7
2015,5,Jeongnim-Dong,4.0,7.0,5.193548387096774
2015,5,Jungang-Way,2.0,6.0,3.838709677419355
2015,5,Juwol-Dong,3.0,6.0,4.516129032258065
2015,5,Nowon-Gu,2.0,6.0,4.516129032258065
2015,5,Pado-Ri,2.0,5.0,2.7037037037037037
2015,5,Seolseong-Myeon,2.0,7.0,4.2
2015,6,Bangsan-Myeon,1.0,4.0,2.2222222222222223
2015,6,Geumchon-Dong,4.0,8.0,5.8
2015,6,Gwanak-Gu,4.0,7.0,5.133333333333334
2015,6,Jeongnim-Dong,5.0,8.0,5.633333333333334
2015,6,Jungang-Way,1.0,5.0,2.7666666666666666
2015,6,Juwol-Dong,1.0,9.0,4.933333333333334
2015,6,Nowon-Gu,1.0,4.0,2.566666666666667
2015,6,Pado-Ri,2.0,8.0,3.4444444444444446
2015,6,Seolseong-Myeon,2.0,5.0,3.392857142857143
2015,7,Bangsan-Myeon,1.0,3.0,2.217391304347826
2015,7,Geumchon-Dong,3.0,7.0,5.32258064516129
2015,7,Gwanak-Gu,3.0,7.0,4.483870967741935
2015,7,Jeongnim-Dong,2.0,7.0,4.741935483870968
2015,7,Jungang-Way,2.0,5.0,2.8620689655172415
2015,7,Juwol-Dong,2.0,8.0,4.612903225806452
2015,7,Nowon-Gu,1.0,4.0,2.193548387096774
2015,7,Pado-Ri,1.0,5.0,2.5714285714285716
2015,7,Seolseong-Myeon,1.0,5.0,3.3225806451612905
2015,8,Bangsan-Myeon,2.0,4.0,2.6818181818181817
2015,8,Geumchon-Dong,3.0,8.0,5.129032258064516
2015,8,Gwanak-Gu,3.0,7.0,4.806451612903226
2015,8,Jeongnim-Dong,4.0,7.0,5.032258064516129
2015,8,Jungang-Way,1.0,4.0,3.3
2015,8,Juwol-Dong,3.0,8.0,4.935483870967742
2015,8,Nowon-Gu,1.0,4.0,2.566666666666667
2015,8,Pado-Ri,1.0,7.0,2.7857142857142856
2015,8,Seolseong-Myeon,1.0,7.0,3.774193548387097
2015,9,Bangsan-Myeon,1.0,6.0,2.8260869565217392
2015,9,Geumchon-Dong,2.0,7.0,5.103448275862069
2015,9,Gwanak-Gu,3.0,7.0,4.933333333333334
2015,9,Jeongnim-Dong,1.0,6.0,3.3043478260869565
2015,9,Jungang-Way,3.0,9.0,5.566666666666666
2015,9,Juwol-Dong,4.0,6.0,4.631578947368421
2015,9,Nowon-Gu,1.0,4.0,2.7037037037037037
2015,9,Pado-Ri,2.0,5.0,2.740740740740741
2015,9,Seolseong-Myeon,1.0,7.0,3.7586206896551726
2015,10,Bangsan-Myeon,1.0,7.0,3.7333333333333334
2015,10,Geumchon-Dong,3.0,10.0,5.870967741935484
2015,10,Gwanak-Gu,4.0,12.0,6.967741935483871
2015,10,Jeongnim-Dong,2.0,5.0,3.5833333333333335
2015,10,Jungang-Way,3.0,9.0,5.774193548387097
2015,10,Juwol-Dong,2.0,11.0,5.705882352941177
2015,10,Nowon-Gu,2.0,8.0,4.774193548387097
2015,10,Pado-Ri,1.0,7.0,3.4838709677419355
2015,10,Seolseong-Myeon,1.0,8.0,4.612903225806452
2015,11,Bangsan-Myeon,2.0,7.0,4.0
2015,11,Geumchon-Dong,3.0,11.0,6.310344827586207
2015,11,Gwanak-Gu,3.0,14.0,7.933333333333334
2015,11,Jeongnim-Dong,2.0,9.0,5.392857142857143
2015,11,Jungang-Way,3.0,15.0,8.1
2015,11,Juwol-Dong,4.0,13.0,7.666666666666667
2015,11,Nowon-Gu,3.0,10.0,6.266666666666667
2015,11,Pado-Ri,2.0,7.0,3.814814814814815
2015,11,Seolseong-Myeon,2.0,8.0,4.714285714285714
2015,12,Bangsan-Myeon,2.0,6.0,4.185185185185185
2015,12,Geumchon-Dong,3.0,16.0,8.703703703703704
2015,12,Gwanak-Gu,4.0,17.0,9.517241379310345
2015,12,Jeongnim-Dong,2.0,11.0,6.962962962962963
2015,12,Jungang-Way,3.0,17.0,10.518518518518519
2015,12,Juwol-Dong,5.0,18.0,10.0
2015,12,Nowon-Gu,4.0,14.0,8.413793103448276
2015,12,Pado-Ri,2.0,9.0,4.615384615384615
2015,12,Seolseong-Myeon,2.0,9.0,5.518518518518518
2016,1,Bangsan-Myeon,2.0,6.0,3.2857142857142856
2016,1,Geumchon-Dong,4.0,15.0,8.10344827586207
2016,1,Gwanak-Gu,4.0,13.0,7.241379310344827
