,,, pm10, pm10, pm10
,,,min,max,mean
date,date,City,,,
2013,12,Geumchon-Dong,,,
2013,12,Gwanak-Gu,,,
2013,12,Jeongnim-Dong,,,
2013,12,Jungang-Way,,,
2013,12,Juwol-Dong,,,
2013,12,Nowon-Gu,,,
2014,1,Bangsan-Myeon,24.0,51.0,37.25
2014,1,Geumchon-Dong,27.0,100.0,56.12903225806452
2014,1,Gwanak-Gu,19.0,85.0,49.38709677419355
2014,1,Jeongnim-Dong,13.0,79.0,40.516129032258064
2014,1,Jungang-Way,22.0,83.0,52.774193548387096
2014,1,Juwol-Dong,15.0,86.0,42.74193548387097
2014,1,Nowon-Gu,16.0,86.0,45.096774193548384
2014,1,Pado-Ri,25.0,45.0,32.25
2014,1,Seolseong-Myeon,28.0,67.0,44.25
2014,2,Bangsan-Myeon,13.0,100.0,41.464285714285715
2014,2,Geumchon-Dong,12.0,106.0,50.857142857142854
2014,2,Gwanak-Gu,10.0,108.0,46.32142857142857
2014,2,Jeongnim-Dong,7.0,88.0,37.75
2014,2,Jungang-Way,9.0,106.0,43.75
2014,2,Juwol-Dong,9.0,82.0,37.07142857142857
2014,2,Nowon-Gu,8.0,98.0,42.42857142857143
2014,2,Pado-Ri,11.0,119.0,49.57142857142857
2014,2,Seolseong-Myeon,14.0,102.0,44.0
2014,3,Bangsan-Myeon,18.0,117.0,55.03225806451613
2014,3,Geumchon-Dong,28.0,103.0,55.58064516129032
2014,3,Gwanak-Gu,27.0,85.0,51.29032258064516
2014,3,Jeongnim-Dong,14.0,81.0,38.96774193548387
2014,3,Jungang-Way,21.0,98.0,50.41935483870968
2014,3,Juwol-Dong,18.0,86.0,40.41935483870968
2014,3,Nowon-Gu,21.0,83.0,46.516129032258064
2014,3,Pado-Ri,24.0,68.0,46.29032258064516
2014,3,Seolseong-Myeon,27.0,84.0,46.096774193548384
2014,4,Bangsan-Myeon,20.0,99.0,55.63333333333333
2014,4,Geumchon-Dong,13.0,77.0,43.3
2014,4,Gwanak-Gu,12.0,101.0,49.9
2014,4,Jeongnim-Dong,5.0,61.0,35.43333333333333
2014,4,Jungang-Way,13.0,104.0,49.36666666666667
2014,4,Juwol-Dong,7.0,63.0,38.233333333333334
2014,4,Nowon-Gu,10.0,95.0,45.666666666666664
2014,4,Pado-Ri,13.0,70.0,45.733333333333334
2014,4,Seolseong-Myeon,9.0,98.0,45.96666666666667
2014,5,Bangsan-Myeon,25.0,95.0,52.54838709677419
2014,5,Geumchon-Dong,30.0,120.0,58.96774193548387
2014,5,Gwanak-Gu,25.0,110.0,53.29032258064516
2014,5,Jeongnim-Dong,26.0,102.0,48.354838709677416
2014,5,Jungang-Way,24.0,91.0,48.16129032258065
2014,5,Juwol-Dong,28.0,117.0,50.12903225806452
2014,5,Nowon-Gu,23.0,101.0,47.225806451612904
2014,5,Pado-Ri,26.0,120.0,54.03225806451613
2014,5,Seolseong-Myeon,19.0,115.0,49.12903225806452
2014,6,Bangsan-Myeon,15.0,95.0,33.233333333333334
2014,6,Geumchon-Dong,20.0,68.0,39.41379310344828
2014,6,Gwanak-Gu,18.0,70.0,36.766666666666666
2014,6,Jeongnim-Dong,14.0,70.0,31.666666666666668
2014,6,Jungang-Way,12.0,84.0,31.433333333333334
2014,6,Juwol-Dong,11.0,72.0,35.53333333333333
2014,6,Nowon-Gu,15.0,67.0,31.9
2014,6,Pado-Ri,14.0,76.0,37.3
2014,6,Seolseong-Myeon,21.0,91.0,53.07692307692308
