,,, pm10, pm10, pm10
2014,7,Bangsan-Myeon,22.0,61.0,34.45161290322581
2014,7,Geumchon-Dong,15.0,77.0,39.516129032258064
2014,7,Gwanak-Gu,16.0,70.0,37.645161290322584
2014,7,Jeongnim-Dong,6.0,57.0,23.93548387096774
2014,7,Jungang-Way,10.0,57.0,30.129032258064516
2014,7,Juwol-Dong,6.0,54.0,25.741935483870968
2014,7,Nowon-Gu,9.0,62.0,32.54838709677419
2014,7,Pado-Ri,5.0,79.0,32.645161290322584
2014,7,Seolseong-Myeon,21.0,95.0,49.26315789473684
2014,8,Bangsan-Myeon,11.0,83.0,27.64516129032258
2014,8,Geumchon-Dong,9.0,80.0,33.193548387096776
2014,8,Gwanak-Gu,9.0,63.0,30.741935483870968
2014,8,Jeongnim-Dong,6.0,56.0,19.870967741935484
2014,8,Jungang-Way,7.0,74.0,24.161290322580644
2014,8,Juwol-Dong,4.0,69.0,22.066666666666666
2014,8,Nowon-Gu,8.0,62.0,25.032258064516128
2014,8,Pado-Ri,7.0,50.0,28.833333333333332
2014,8,Seolseong-Myeon,7.0,84.0,34.0
2014,9,Bangsan-Myeon,14.0,43.0,24.6
2014,9,Geumchon-Dong,9.0,56.0,36.43333333333333
2014,9,Gwanak-Gu,9.0,54.0,31.1
2014,9,Jeongnim-Dong,5.0,43.0,21.733333333333334
2014,9,Jungang-Way,6.0,46.0,24.633333333333333
2014,9,Juwol-Dong,11.0,47.0,26.4
2014,9,Nowon-Gu,5.0,43.0,25.533333333333335
2014,9,Pado-Ri,4.0,52.0,30.366666666666667
2014,9,Seolseong-Myeon,13.0,67.0,35.3
2014,10,Bangsan-Myeon,19.0,46.0,26.93548387096774
2014,10,Geumchon-Dong,21.0,73.0,41.806451612903224
2014,10,Gwanak-Gu,11.0,66.0,35.354838709677416
2014,10,Jeongnim-Dong,4.0,46.0,22.225806451612904
2014,10,Jungang-Way,13.0,52.0,30.93548387096774
2014,10,Juwol-Dong,10.0,50.0,25.774193548387096
2014,10,Nowon-Gu,14.0,53.0,31.161290322580644
2014,10,Pado-Ri,15.0,62.0,35.29032258064516
2014,10,Seolseong-Myeon,8.0,62.0,35.83870967741935
2014,11,Bangsan-Myeon,17.0,69.0,34.0
2014,11,Geumchon-Dong,14.0,80.0,49.56666666666667
2014,11,Gwanak-Gu,14.0,62.0,40.03333333333333
2014,11,Jeongnim-Dong,9.0,44.0,29.566666666666666
2014,11,Jungang-Way,17.0,61.0,40.166666666666664
2014,11,Juwol-Dong,12.0,51.0,32.2
2014,11,Nowon-Gu,17.0,59.0,40.46666666666667
2014,11,Pado-Ri,19.0,71.0,41.166666666666664
2014,11,Seolseong-Myeon,23.0,69.0,49.13333333333333
2014,12,Bangsan-Myeon,23.0,65.0,35.035714285714285
2014,12,Geumchon-Dong,20.0,91.0,43.392857142857146
2014,12,Gwanak-Gu,18.0,56.0,34.67857142857143
2014,12,Jeongnim-Dong,15.0,43.0,28.0
2014,12,Jungang-Way,17.0,62.0,39.17857142857143
2014,12,Juwol-Dong,12.0,48.0,27.357142857142858
2014,12,Nowon-Gu,25.0,88.0,51.8
2014,12,Pado-Ri,17.0,54.0,33.785714285714285
2014,12,Seolseong-Myeon,23.0,67.0,44.535714285714285
2015,1,Bangsan-Myeon,23.0,58.0,38.86206896551724
2015,1,Geumchon-Dong,35.0,67.0,47.62068965517241
2015,1,Gwanak-Gu,26.0,68.0,43.61290322580645
2015,1,Jeongnim-Dong,22.0,60.0,37.10344827586207
2015,1,Jungang-Way,33.0,63.0,48.724137931034484
2015,1,Juwol-Dong,13.0,69.0,35.89655172413793
2015,1,Nowon-Gu,26.0,65.0,43.0
2015,1,Pado-Ri,21.0,78.0,46.724137931034484
2015,1,Seolseong-Myeon,37.0,74.0,53.241379310344826
2015,2,Bangsan-Myeon,27.0,307.0,54.535714285714285
2015,2,Geumchon-Dong,30.0,685.0,78.60714285714286
2015,2,Gwanak-Gu,26.0,440.0,69.57142857142857
2015,2,Jeongnim-Dong,13.0,229.0,47.607142857142854
2015,2,Jungang-Way,29.0,470.0,68.71428571428571
2015,2,Juwol-Dong,9.0,163.0,45.32142857142857
2015,2,Nowon-Gu,26.0,518.0,70.14285714285714
2015,2,Pado-Ri,27.0,196.0,59.892857142857146
2015,2,Seolseong-Myeon,31.0,388.0,70.07142857142857
2015,3,Bangsan-Myeon,26.0,92.0,51.645161290322584
2015,3,Geumchon-Dong,37.0,124.0,65.41935483870968
2015,3,Gwanak-Gu,25.0,115.0,57.16129032258065
2015,3,Jeongnim-Dong,16.0,94.0,45.70967741935484
2015,3,Jungang-Way,29.0,97.0,56.483870967741936
2015,3,Juwol-Dong,18.0,95.0,48.064516129032256
2015,3,Nowon-Gu,24.0,110.0,52.483870967741936
2015,3,Pado-Ri,26.0,125.0,55.6
2015,3,Seolseong-Myeon,31.0,115.0,61.96774193548387
2015,4,Bangsan-Myeon,12.0,65.0,37.53333333333333
2015,4,Geumchon-Dong,18.0,74.0,46.93333333333333
2015,4,Gwanak-Gu,12.0,60.0,40.93333333333333
2015,4,Jeongnim-Dong,6.0,55.0,30.966666666666665
2015,4,Jungang-Way,10.0,64.0,37.3
2015,4,Juwol-Dong,10.0,63.0,34.6
2015,4,Nowon-Gu,11.0,65.0,36.3
2015,4,Pado-Ri,16.0,74.0,40.63333333333333
2015,4,Seolseong-Myeon,11.0,66.0,41.833333333333336
2015,5,Bangsan-Myeon,32.0,73.0,42.774193548387096
2015,5,Geumchon-Dong,26.0,76.0,47.354838709677416
2015,5,Gwanak-Gu,26.0,77.0,42.193548387096776
2015,5,Jeongnim-Dong,21.0,74.0,36.54838709677419
2015,5,Jungang-Way,21.0,77.0,38.32258064516129
2015,5,Juwol-Dong,6.0,52.0,34.225806451612904
2015,5,Nowon-Gu,21.0,79.0,41.516129032258064
2015,5,Pado-Ri,12.0,63.0,33.225806451612904
2015,5,Seolseong-Myeon,31.0,87.0,48.83870967741935
2015,6,Bangsan-Myeon,18.0,55.0,33.833333333333336
2015,6,Geumchon-Dong,22.0,70.0,39.92
2015,6,Gwanak-Gu,16.0,62.0,36.666666666666664
2015,6,Jeongnim-Dong,7.0,68.0,30.8
2015,6,Jungang-Way,10.0,51.0,26.2
2015,6,Juwol-Dong,13.0,69.0,33.13333333333333
2015,6,Nowon-Gu,10.0,60.0,32.333333333333336
2015,6,Pado-Ri,13.0,68.0,33.107142857142854
2015,6,Seolseong-Myeon,14.0,57.0,39.61538461538461
2015,7,Bangsan-Myeon,17.0,45.0,23.875
2015,7,Geumchon-Dong,56.0,68.0,62.0
2015,7,Gwanak-Gu,13.0,62.0,32.935483870967744
2015,7,Jeongnim-Dong,18.0,38.0,27.333333333333332
2015,7,Jungang-Way,12.0,53.0,24.516129032258064
2015,7,Juwol-Dong,11.0,59.0,26.870967741935484
2015,7,Nowon-Gu,9.0,70.0,29.774193548387096
2015,7,Pado-Ri,38.0,43.0,40.5
2015,7,Seolseong-Myeon,48.0,48.0,48.0
2015,8,Bangsan-Myeon,,,
2015,8,Geumchon-Dong,5.0,63.0,31.774193548387096
2015,8,Gwanak-Gu,11.0,62.0,35.74193548387097
2015,8,Jeongnim-Dong,8.0,56.0,30.714285714285715
2015,8,Jungang-Way,9.0,42.0,29.193548387096776
2015,8,Juwol-Dong,8.0,48.0,25.35483870967742
2015,8,Nowon-Gu,6.0,57.0,31.6
2015,8,Pado-Ri,2.0,63.0,31.612903225806452
2015,8,Seolseong-Myeon,10.0,71.0,39.67741935483871
2015,9,Bangsan-Myeon,5.0,23.0,12.96551724137931
2015,9,Geumchon-Dong,22.0,62.0,37.43333333333333
2015,9,Gwanak-Gu,15.0,55.0,30.2
2015,9,Jeongnim-Dong,10.0,39.0,22.47826086956522
2015,9,Jungang-Way,14.0,41.0,24.3
2015,9,Juwol-Dong,15.0,37.0,21.31578947368421
2015,9,Nowon-Gu,10.0,44.0,24.107142857142858
2015,9,Pado-Ri,15.0,48.0,30.892857142857142
2015,9,Seolseong-Myeon,14.0,66.0,33.333333333333336
2015,10,Bangsan-Myeon,7.0,62.0,24.451612903225808
2015,10,Geumchon-Dong,20.0,100.0,49.916666666666664
2015,10,Gwanak-Gu,21.0,81.0,42.193548387096776
2015,10,Jeongnim-Dong,10.0,73.0,35.645161290322584
2015,10,Jungang-Way,24.0,37.0,28.5
2015,10,Juwol-Dong,52.0,59.0,55.0
2015,10,Nowon-Gu,14.0,77.0,35.064516129032256
2015,10,Pado-Ri,19.0,71.0,43.16129032258065
2015,10,Seolseong-Myeon,21.0,110.0,50.25806451612903
2015,11,Bangsan-Myeon,2.0,46.0,17.571428571428573
2015,11,Geumchon-Dong,5.0,75.0,38.13793103448276
2015,11,Gwanak-Gu,9.0,68.0,34.833333333333336
2015,11,Jeongnim-Dong,6.0,47.0,25.833333333333332
2015,11,Jungang-Way,11.0,59.0,30.363636363636363
2015,11,Juwol-Dong,9.0,52.0,29.615384615384617
2015,11,Nowon-Gu,4.0,65.0,27.3
2015,11,Pado-Ri,8.0,78.0,37.407407407407405
2015,11,Seolseong-Myeon,9.0,80.0,38.166666666666664
2015,12,Bangsan-Myeon,15.0,44.0,25.964285714285715
2015,12,Geumchon-Dong,22.0,87.0,52.75
2015,12,Gwanak-Gu,20.0,73.0,44.172413793103445
2015,12,Jeongnim-Dong,16.0,57.0,36.357142857142854
2015,12,Jungang-Way,27.0,75.0,52.851851851851855
2015,12,Juwol-Dong,9.0,66.0,35.96296296296296
2015,12,Nowon-Gu,18.0,65.0,40.03448275862069
2015,12,Pado-Ri,5.0,85.0,45.214285714285715
2015,12,Seolseong-Myeon,19.0,75.0,51.785714285714285
2016,1,Bangsan-Myeon,12.0,45.0,28.392857142857142
2016,1,Geumchon-Dong,39.0,73.0,52.82142857142857
2016,1,Gwanak-Gu,26.0,58.0,39.93103448275862
2016,1,Jeongnim-Dong,16.0,62.0,37.5
2016,1,Jungang-Way,34.0,65.0,49.172413793103445
2016,1,Juwol-Dong,10.0,65.0,31.75862068965517
2016,1,Nowon-Gu,23.0,64.0,37.758620689655174
2016,1,Pado-Ri,21.0,72.0,41.25
2016,1,Seolseong-Myeon,32.0,79.0,51.642857142857146
2016,2,Bangsan-Myeon,6.0,49.0,29.620689655172413
2016,2,Geumchon-Dong,22.0,74.0,54.758620689655174
2016,2,Gwanak-Gu,20.0,59.0,40.06896551724138
2016,2,Jeongnim-Dong,23.0,56.0,36.10344827586207
2016,2,Jungang-Way,26.0,67.0,48.89655172413793
2016,2,Juwol-Dong,11.0,79.0,37.06896551724138
2016,2,Nowon-Gu,18.0,62.0,34.89655172413793
2016,2,Pado-Ri,12.0,68.0,42.44827586206897
2016,2,Seolseong-Myeon,27.0,66.0,49.3448275862069
2016,3,Bangsan-Myeon,17.0,66.0,41.0
2016,3,Geumchon-Dong,35.0,118.0,65.87096774193549
2016,3,Gwanak-Gu,24.0,70.0,51.645161290322584
2016,3,Jeongnim-Dong,16.0,60.0,43.12903225806452
2016,3,Jungang-Way,32.0,79.0,56.064516129032256
2016,3,Juwol-Dong,18.0,68.0,43.38709677419355
2016,3,Nowon-Gu,17.0,66.0,46.516129032258064
2016,3,Pado-Ri,25.0,129.0,48.833333333333336
2016,3,Seolseong-Myeon,28.0,83.0,62.61290322580645
2016,4,Bangsan-Myeon,17.0,104.0,44.233333333333334
2016,4,Geumchon-Dong,32.0,159.0,64.73333333333333
2016,4,Gwanak-Gu,27.0,100.0,52.266666666666666
2016,4,Jeongnim-Dong,18.0,90.0,45.833333333333336
2016,4,Jungang-Way,28.0,107.0,55.06666666666667
2016,4,Juwol-Dong,11.0,108.0,46.5
2016,4,Nowon-Gu,18.0,90.0,45.266666666666666
2016,4,Pado-Ri,9.0,140.0,44.766666666666666
2016,4,Seolseong-Myeon,31.0,115.0,60.6551724137931
2016,5,Bangsan-Myeon,9.0,79.0,32.83870967741935
2016,5,Geumchon-Dong,17.0,112.0,55.354838709677416
2016,5,Gwanak-Gu,19.0,73.0,45.29032258064516
2016,5,Jeongnim-Dong,19.0,82.0,38.41935483870968
2016,5,Jungang-Way,9.0,126.0,42.29032258064516
2016,5,Juwol-Dong,13.0,118.0,40.41935483870968
2016,5,Nowon-Gu,15.0,78.0,36.54838709677419
2016,5,Pado-Ri,17.0,76.0,41.516129032258064
2016,5,Seolseong-Myeon,14.0,94.0,52.645161290322584
2016,6,Bangsan-Myeon,13.0,44.0,23.9
2016,6,Geumchon-Dong,25.0,64.0,45.96666666666667
2016,6,Gwanak-Gu,26.0,63.0,42.4
2016,6,Jeongnim-Dong,11.0,41.0,27.433333333333334
2016,6,Jungang-Way,23.0,49.0,32.4
2016,6,Juwol-Dong,5.0,54.0,26.5
2016,6,Nowon-Gu,17.0,63.0,32.56666666666667
2016,6,Pado-Ri,13.0,47.0,30.066666666666666
2016,6,Seolseong-Myeon,24.0,63.0,44.63333333333333
2016,7,Bangsan-Myeon,8.0,37.0,20.677419354838708
2016,7,Geumchon-Dong,12.0,55.0,34.354838709677416
2016,7,Gwanak-Gu,14.0,50.0,34.12903225806452
2016,7,Jeongnim-Dong,10.0,35.0,23.516129032258064
2016,7,Jungang-Way,8.0,41.0,26.838709677419356
2016,7,Juwol-Dong,4.0,43.0,18.161290322580644
2016,7,Nowon-Gu,4.0,49.0,25.741935483870968
2016,7,Pado-Ri,3.0,47.0,19.677419354838708
2016,7,Seolseong-Myeon,7.0,51.0,26.258064516129032
2016,8,Bangsan-Myeon,7.0,25.0,17.612903225806452
2016,8,Geumchon-Dong,12.0,65.0,38.4
2016,8,Gwanak-Gu,15.0,60.0,34.70967741935484
2016,8,Jeongnim-Dong,13.0,48.0,26.129032258064516
2016,8,Jungang-Way,12.0,43.0,26.806451612903224
2016,8,Juwol-Dong,6.0,49.0,25.967741935483872
2016,8,Nowon-Gu,4.0,45.0,23.06451612903226
2016,8,Pado-Ri,12.0,55.0,29.5
2016,8,Seolseong-Myeon,11.0,56.0,31.032258064516128
2016,9,Bangsan-Myeon,10.0,39.0,21.766666666666666
2016,9,Geumchon-Dong,21.0,61.0,33.666666666666664
2016,9,Gwanak-Gu,15.0,60.0,35.2
2016,9,Jeongnim-Dong,9.0,40.0,23.633333333333333
2016,9,Jungang-Way,14.0,50.0,28.233333333333334
2016,9,Juwol-Dong,2.0,51.0,23.266666666666666
2016,9,Nowon-Gu,8.0,54.0,25.866666666666667
2016,9,Pado-Ri,21.0,57.0,41.56666666666667
2016,9,Seolseong-Myeon,13.0,70.0,37.06666666666667
2016,10,Bangsan-Myeon,11.0,45.0,22.483870967741936
2016,10,Geumchon-Dong,21.0,40.0,31.5
2016,10,Gwanak-Gu,15.0,59.0,34.12903225806452
2016,10,Jeongnim-Dong,12.0,52.0,24.967741935483872
2016,10,Jungang-Way,13.0,57.0,30.29032258064516
2016,10,Juwol-Dong,11.0,53.0,24.129032258064516
2016,10,Nowon-Gu,6.0,55.0,24.689655172413794
2016,10,Pado-Ri,22.0,79.0,44.096774193548384
2016,10,Seolseong-Myeon,17.0,80.0,40.32258064516129
2016,11,Bangsan-Myeon,17.0,59.0,32.4
2016,11,Geumchon-Dong,31.0,82.0,50.6
2016,11,Gwanak-Gu,23.0,65.0,43.13333333333333
2016,11,Jeongnim-Dong,20.0,57.0,35.43333333333333
2016,11,Jungang-Way,35.0,71.0,50.892857142857146
2016,11,Juwol-Dong,13.0,60.0,34.43333333333333
2016,11,Nowon-Gu,20.0,68.0,39.357142857142854
2016,11,Pado-Ri,30.0,76.0,50.333333333333336
2016,11,Seolseong-Myeon,29.0,79.0,53.833333333333336
2016,12,Bangsan-Myeon,6.0,49.0,25.903225806451612
2016,12,Geumchon-Dong,19.0,69.0,47.58064516129032
2016,12,Gwanak-Gu,22.0,60.0,39.87096774193548
2016,12,Jeongnim-Dong,18.0,67.0,35.67741935483871
2016,12,Jungang-Way,13.0,69.0,46.74193548387097
2016,12,Juwol-Dong,14.0,77.0,32.25806451612903
2016,12,Nowon-Gu,16.0,65.0,39.935483870967744
2016,12,Pado-Ri,20.0,73.0,39.935483870967744
2016,12,Seolseong-Myeon,24.0,80.0,52.54838709677419
2017,1,Bangsan-Myeon,10.0,68.0,35.61290322580645
2017,1,Geumchon-Dong,20.0,83.0,48.61290322580645
2017,1,Gwanak-Gu,17.0,73.0,40.193548387096776
2017,1,Jeongnim-Dong,17.0,78.0,38.064516129032256
2017,1,Jungang-Way,27.0,87.0,50.87096774193548
2017,1,Juwol-Dong,14.0,72.0,34.5
2017,1,Nowon-Gu,15.0,74.0,40.61290322580645
2017,1,Pado-Ri,19.0,64.0,42.806451612903224
2017,1,Seolseong-Myeon,21.0,101.0,56.61290322580645
2017,2,Bangsan-Myeon,20.0,60.0,32.964285714285715
2017,2,Geumchon-Dong,30.0,70.0,45.035714285714285
2017,2,Gwanak-Gu,25.0,67.0,37.67857142857143
2017,2,Jeongnim-Dong,23.0,69.0,36.214285714285715
2017,2,Jungang-Way,35.0,77.0,48.035714285714285
2017,2,Juwol-Dong,18.0,51.0,33.714285714285715
2017,2,Nowon-Gu,20.0,68.0,37.07142857142857
2017,2,Pado-Ri,25.0,66.0,40.357142857142854
2017,2,Seolseong-Myeon,34.0,95.0,50.892857142857146
2017,3,Bangsan-Myeon,22.0,59.0,39.0
2017,3,Geumchon-Dong,25.0,80.0,53.0
2017,3,Gwanak-Gu,21.0,67.0,45.54838709677419
2017,3,Jeongnim-Dong,25.0,55.0,41.83870967741935
2017,3,Jungang-Way,21.0,66.0,47.70967741935484
2017,3,Juwol-Dong,23.0,58.0,44.16129032258065
2017,3,Nowon-Gu,19.0,70.0,44.483870967741936
2017,3,Pado-Ri,35.0,75.0,49.43333333333333
2017,3,Seolseong-Myeon,41.0,85.0,61.645161290322584
2017,4,Bangsan-Myeon,11.0,60.0,37.0
2017,4,Geumchon-Dong,20.0,75.0,51.4
2017,4,Gwanak-Gu,30.0,72.0,50.666666666666664
2017,4,Jeongnim-Dong,23.0,72.0,44.666666666666664
2017,4,Jungang-Way,21.0,67.0,47.333333333333336
2017,4,Juwol-Dong,19.0,88.0,45.96666666666667
2017,4,Nowon-Gu,20.0,66.0,44.166666666666664
2017,4,Pado-Ri,12.0,95.0,45.833333333333336
2017,4,Seolseong-Myeon,24.0,73.0,54.56666666666667
2017,5,Bangsan-Myeon,9.0,107.0,37.25806451612903
2017,5,Geumchon-Dong,26.0,135.0,52.935483870967744
2017,5,Gwanak-Gu,26.0,107.0,50.25806451612903
2017,5,Jeongnim-Dong,26.0,122.0,46.38709677419355
2017,5,Jungang-Way,17.0,120.0,50.74193548387097
2017,5,Juwol-Dong,25.0,148.0,45.483870967741936
2017,5,Nowon-Gu,20.0,107.0,45.54838709677419
2017,5,Pado-Ri,24.0,160.0,49.38709677419355
2017,5,Seolseong-Myeon,24.0,121.0,54.67741935483871
2017,6,Bangsan-Myeon,9.0,50.0,24.166666666666668
2017,6,Geumchon-Dong,13.0,64.0,38.766666666666666
2017,6,Gwanak-Gu,23.0,57.0,42.43333333333333
2017,6,Jeongnim-Dong,19.0,52.0,35.03333333333333
2017,6,Jungang-Way,13.0,55.0,36.266666666666666
2017,6,Juwol-Dong,19.0,49.0,34.03333333333333
2017,6,Nowon-Gu,15.0,53.0,34.2
2017,6,Pado-Ri,13.0,57.0,33.4
2017,6,Seolseong-Myeon,19.0,76.0,45.63333333333333
2017,7,Bangsan-Myeon,11.0,31.0,19.444444444444443
2017,7,Geumchon-Dong,18.0,48.0,28.90909090909091
2017,7,Gwanak-Gu,18.0,58.0,34.0
2017,7,Jeongnim-Dong,17.0,40.0,24.375
2017,7,Jungang-Way,15.0,31.0,23.272727272727273
2017,7,Juwol-Dong,14.0,32.0,18.625
2017,7,Nowon-Gu,21.0,40.0,29.875
2017,7,Pado-Ri,15.0,40.0,24.0
2017,7,Seolseong-Myeon,21.0,62.0,38.0
2017,8,Geumchon-Dong,35.0,35.0,35.0
2017,8,Gwanak-Gu,17.0,26.0,20.75
2017,8,Jungang-Way,16.0,34.0,25.4
2017,8,Pado-Ri,21.0,49.0,36.25
2017,8,Seolseong-Myeon,18.0,45.0,36.0
2017,9,Bangsan-Myeon,16.0,47.0,26.571428571428573
2017,9,Geumchon-Dong,24.0,62.0,43.0
2017,9,Gwanak-Gu,17.0,51.0,33.111111111111114
2017,9,Jeongnim-Dong,25.0,43.0,29.333333333333332
2017,9,Jungang-Way,22.0,54.0,35.0
2017,9,Juwol-Dong,15.0,48.0,30.625
2017,9,Nowon-Gu,22.0,59.0,38.666666666666664
2017,9,Pado-Ri,25.0,43.0,33.333333333333336
2017,9,Paju,26.0,59.0,38.75
2017,9,Seolseong-Myeon,20.0,55.0,36.42857142857143
2017,10,Bangsan-Myeon,8.0,37.0,17.258064516129032
2017,10,Geumchon-Dong,12.0,66.0,35.903225806451616
2017,10,Gwanak-Gu,11.0,48.0,25.580645161290324
2017,10,Jeongnim-Dong,14.0,52.0,28.677419354838708
2017,10,Jungang-Way,7.0,48.0,24.903225806451612
2017,10,Juwol-Dong,9.0,62.0,29.870967741935484
2017,10,Nowon-Gu,9.0,56.0,29.096774193548388
2017,10,Pado-Ri,28.0,28.0,28.0
2017,10,Paju,11.0,69.0,36.225806451612904
2017,10,Seolseong-Myeon,11.0,63.0,33.58064516129032
2017,11,Bangsan-Myeon,13.0,46.0,25.533333333333335
2017,11,Geumchon-Dong,21.0,68.0,42.9
2017,11,Gwanak-Gu,17.0,50.0,31.933333333333334
2017,11,Jeongnim-Dong,21.0,55.0,38.63333333333333
2017,11,Jungang-Way,17.0,68.0,40.5
2017,11,Juwol-Dong,23.0,67.0,46.233333333333334
2017,11,Nowon-Gu,23.0,64.0,39.1
2017,11,Paju,24.0,70.0,43.766666666666666
2017,11,Seolseong-Myeon,26.0,67.0,49.5
2017,12,Bangsan-Myeon,13.0,63.0,27.612903225806452
2017,12,Geumchon-Dong,24.0,86.0,47.16129032258065
2017,12,Gwanak-Gu,20.0,78.0,38.58064516129032
2017,12,Jeongnim-Dong,25.0,75.0,41.25806451612903
2017,12,Jungang-Way,21.0,79.0,41.61290322580645
2017,12,Juwol-Dong,22.0,77.0,41.903225806451616
2017,12,Nowon-Gu,24.0,84.0,44.12903225806452
2017,12,Pado-Ri,22.0,68.0,44.0
2017,12,Paju,27.0,85.0,50.67741935483871
2017,12,Seolseong-Myeon,28.0,103.0,49.74193548387097
2018,1,Bangsan-Myeon,14.0,55.0,28.193548387096776
2018,1,Geumchon-Dong,22.0,80.0,46.354838709677416
2018,1,Gwanak-Gu,20.0,77.0,39.96774193548387
2018,1,Jeongnim-Dong,28.0,77.0,44.58064516129032
2018,1,Jungang-Way,25.0,70.0,45.58064516129032
2018,1,Juwol-Dong,19.0,77.0,42.096774193548384
2018,1,Nowon-Gu,23.0,79.0,43.645161290322584
2018,1,Pado-Ri,21.0,88.0,42.03225806451613
2018,1,Paju,25.0,81.0,49.483870967741936
2018,1,Seolseong-Myeon,26.0,91.0,55.77777777777778
2018,2,Bangsan-Myeon,13.0,48.0,29.071428571428573
2018,2,Geumchon-Dong,30.0,85.0,49.535714285714285
2018,2,Gwanak-Gu,22.0,64.0,41.17857142857143
2018,2,Jeongnim-Dong,28.0,67.0,45.107142857142854
2018,2,Jungang-Way,28.0,74.0,45.714285714285715
2018,2,Juwol-Dong,22.0,72.0,45.214285714285715
2018,2,Nowon-Gu,26.0,71.0,45.535714285714285
2018,2,Pado-Ri,27.0,71.0,41.7037037037037
2018,2,Paju,34.0,76.0,52.142857142857146
2018,2,Sangjusi,25.0,44.0,35.6
2018,2,Seolseong-Myeon,34.0,84.0,52.82142857142857
2018,2,Seonggeoeup,38.0,72.0,51.0
2018,3,Bangsan-Myeon,6.0,64.0,29.137931034482758
2018,3,Geumchon-Dong,10.0,93.0,46.03225806451613
2018,3,Gwanak-Gu,9.0,82.0,46.0
2018,3,Jeongnim-Dong,14.0,66.0,40.354838709677416
2018,3,Jungang-Way,12.0,70.0,40.96774193548387
2018,3,Juwol-Dong,12.0,76.0,43.0
2018,3,Nowon-Gu,9.0,80.0,43.16129032258065
2018,3,Pado-Ri,12.0,67.0,35.70967741935484
2018,3,Paju,12.0,90.0,48.56666666666667
2018,3,Sangjusi,10.0,71.0,39.16129032258065
2018,3,Seolseong-Myeon,13.0,93.0,50.483870967741936
