,,, no2, no2, no2
,,,min,max,mean
date,date,City,,,
2014,12,Bangsan-Myeon,2.0,13.0,6.407407407407407
2014,12,Geumchon-Dong,12.0,48.0,27.40740740740741
2014,12,Gwanak-Gu,13.0,60.0,32.964285714285715
2014,12,Jeongnim-Dong,15.0,44.0,28.88888888888889
2014,12,Jungang-Way,8.0,38.0,20.85185185185185
2014,12,Juwol-Dong,13.0,55.0,28.296296296296298
2014,12,Nowon-Gu,9.0,56.0,27.964285714285715
2014,12,Pado-Ri,1.0,34.0,6.555555555555555
2014,12,Seolseong-Myeon,6.0,31.0,17.444444444444443
2015,1,Bangsan-Myeon,3.0,49.0,9.89655172413793
2015,1,Geumchon-Dong,15.0,55.0,30.75862068965517
2015,1,Gwanak-Gu,21.0,61.0,40.096774193548384
2015,1,Jeongnim-Dong,17.0,56.0,33.89655172413793
2015,1,Jungang-Way,10.0,52.0,25.17241379310345
2015,1,Juwol-Dong,17.0,57.0,37.44827586206897
2015,1,Nowon-Gu,15.0,59.0,36.58064516129032
2015,1,Pado-Ri,1.0,42.0,12.689655172413794
2015,1,Seolseong-Myeon,6.0,45.0,17.275862068965516
2015,2,Bangsan-Myeon,2.0,14.0,6.035714285714286
2015,2,Geumchon-Dong,11.0,40.0,25.571428571428573
2015,2,Gwanak-Gu,14.0,66.0,39.035714285714285
2015,2,Jeongnim-Dong,12.0,39.0,24.785714285714285
2015,2,Jungang-Way,12.0,39.0,26.5
2015,2,Juwol-Dong,13.0,54.0,28.928571428571427
2015,2,Nowon-Gu,9.0,61.0,30.892857142857142
2015,2,Pado-Ri,1.0,13.0,4.857142857142857
2015,2,Seolseong-Myeon,3.0,21.0,9.178571428571429
2015,3,Bangsan-Myeon,2.0,11.0,5.774193548387097
2015,3,Geumchon-Dong,10.0,55.0,27.451612903225808
2015,3,Gwanak-Gu,14.0,67.0,39.354838709677416
2015,3,Jeongnim-Dong,12.0,48.0,25.64516129032258
2015,3,Jungang-Way,8.0,41.0,21.032258064516128
2015,3,Juwol-Dong,13.0,63.0,31.838709677419356
2015,3,Nowon-Gu,9.0,82.0,36.12903225806452
2015,3,Pado-Ri,1.0,29.0,6.733333333333333
2015,3,Seolseong-Myeon,4.0,27.0,11.064516129032258
2015,4,Bangsan-Myeon,2.0,9.0,4.566666666666666
2015,4,Geumchon-Dong,11.0,36.0,22.233333333333334
2015,4,Gwanak-Gu,15.0,54.0,30.75862068965517
2015,4,Jeongnim-Dong,14.0,34.0,20.266666666666666
2015,4,Jungang-Way,11.0,27.0,16.7
2015,4,Juwol-Dong,13.0,48.0,26.166666666666668
2015,4,Nowon-Gu,10.0,46.0,29.1
2015,4,Pado-Ri,2.0,13.0,6.3
2015,4,Seolseong-Myeon,2.0,14.0,7.0
2015,5,Bangsan-Myeon,2.0,8.0,4.967741935483871
2015,5,Geumchon-Dong,10.0,26.0,19.032258064516128
2015,5,Gwanak-Gu,12.0,58.0,30.0
2015,5,Jeongnim-Dong,9.0,27.0,16.129032258064516
2015,5,Jungang-Way,8.0,19.0,13.129032258064516
2015,5,Juwol-Dong,8.0,40.0,23.419354838709676
2015,5,Nowon-Gu,12.0,43.0,27.580645161290324
2015,5,Pado-Ri,2.0,11.0,5.903225806451613
2015,5,Seolseong-Myeon,2.0,14.0,7.612903225806452
2015,6,Bangsan-Myeon,2.0,9.0,4.033333333333333
2015,6,Geumchon-Dong,8.0,32.0,15.9
2015,6,Gwanak-Gu,17.0,43.0,29.266666666666666
2015,6,Jeongnim-Dong,10.0,22.0,13.9
2015,6,Jungang-Way,5.0,15.0,9.266666666666667
2015,6,Juwol-Dong,9.0,28.0,17.266666666666666
2015,6,Nowon-Gu,8.0,33.0,18.9
2015,6,Pado-Ri,2.0,12.0,5.766666666666667
2015,6,Seolseong-Myeon,2.0,11.0,6.0
2015,7,Bangsan-Myeon,2.0,5.0,3.5161290322580645
2015,7,Geumchon-Dong,8.0,24.0,14.387096774193548
