,,, so2, so2, so2
,,,min,max,mean
date,date,City,,,
2014,12,Geumchon-Dong,6.0,13.0,9.814814814814815
2014,12,Gwanak-Gu,7.0,14.0,9.071428571428571
2014,12,Jeongnim-Dong,4.0,10.0,6.2592592592592595
2014,12,Jungang-Way,5.0,17.0,8.962962962962964
2014,12,Juwol-Dong,4.0,7.0,5.666666666666667
2014,12,Nowon-Gu,6.0,14.0,9.107142857142858
2014,12,Pado-Ri,1.0,9.0,3.888888888888889
2014,12,Seolseong-Myeon,1.0,8.0,2.4814814814814814
2015,1,Bangsan-Myeon,1.0,37.0,5.137931034482759
2015,1,Geumchon-Dong,7.0,40.0,12.241379310344827
2015,1,Gwanak-Gu,7.0,37.0,11.096774193548388
2015,1,Jeongnim-Dong,4.0,34.0,7.620689655172414
2015,1,Jungang-Way,8.0,36.0,12.344827586206897
2015,1,Juwol-Dong,3.0,36.0,6.620689655172414
2015,1,Nowon-Gu,8.0,33.0,12.064516129032258
2015,1,Pado-Ri,1.0,40.0,6.379310344827586
2015,1,Seolseong-Myeon,1.0,36.0,4.655172413793103
2015,2,Bangsan-Myeon,1.0,9.0,2.75
2015,2,Geumchon-Dong,3.0,21.0,9.464285714285714
2015,2,Gwanak-Gu,6.0,18.0,9.428571428571429
2015,2,Jeongnim-Dong,3.0,13.0,6.25
2015,2,Jungang-Way,6.0,17.0,9.678571428571429
2015,2,Juwol-Dong,3.0,7.0,5.0
2015,2,Nowon-Gu,6.0,16.0,10.107142857142858
2015,2,Pado-Ri,1.0,13.0,2.9545454545454546
2015,2,Seolseong-Myeon,2.0,12.0,3.75
2015,3,Bangsan-Myeon,1.0,6.0,2.774193548387097
2015,3,Geumchon-Dong,4.0,19.0,7.967741935483871
2015,3,Gwanak-Gu,4.0,20.0,9.741935483870968
2015,3,Jeongnim-Dong,3.0,11.0,5.290322580645161
2015,3,Jungang-Way,5.0,14.0,8.806451612903226
2015,3,Juwol-Dong,3.0,6.0,4.290322580645161
2015,3,Nowon-Gu,6.0,17.0,10.387096774193548
2015,3,Pado-Ri,1.0,6.0,2.2962962962962963
2015,3,Seolseong-Myeon,2.0,9.0,4.1
2015,4,Bangsan-Myeon,1.0,5.0,1.8148148148148149
2015,4,Geumchon-Dong,1.0,9.0,4.733333333333333
2015,4,Gwanak-Gu,4.0,12.0,7.482758620689655
2015,4,Jeongnim-Dong,2.0,9.0,4.115384615384615
2015,4,Jungang-Way,3.0,10.0,5.758620689655173
2015,4,Juwol-Dong,2.0,7.0,4.133333333333334
2015,4,Nowon-Gu,6.0,11.0,8.2
2015,4,Pado-Ri,1.0,6.0,2.6206896551724137
2015,4,Seolseong-Myeon,1.0,5.0,2.75
